question,option_0,option_1,option_2,option_3,answer,remark
"在项目的规划阶段,所需的外部和内部资源会发生冲突,若要解决这个问题,项目经理应该做什么?During a projects planning phase,required external and internal resources are conflict.What should the project manager do to receive this?",根据经验教训建立结构 Develop a structure based on lessons learne,创建责任分配矩阵(RAM) Create a responsibility assignment matrix(RAM).,"生成执行、负责、咨询和知情(RACI)图 Generate a responsible.accountable,consult,and inform(RACI)chart.",查看传统的组织结构图 Review a traditional organizational chart.,C,PMBOK(6)P317- 9.1.2.2 责任分配矩阵-RACI矩阵。RACI（执行、负责、咨询和知情）矩阵是RAM的其中一种类型，在团队是由内部和外部人员组成的情况下，RACI 矩阵对明确划分角色和职责特别有用。因此选C。 其他选项：AD不对，B责任分配矩阵是正确的，但是RACI明显更加精准，因为它可以针对这种有外部和内部资源同时存在的情况，非常有效。
一位相关方不同意月度状态报告，并要求项目经理每周亲自告知他们项目的状态，项目经理首先应该怎么做？A stakeholder disagrees with the monthly status report and asks the project manager to personally inform them of the project's status on a weekly basis. What should the project manager do first?,修改状态报告的形式和频率，以满足该相关方的需求 Modify the form and frequency of the status reports to accommodate the stakeholder needs,寻求与该相关方达成协议以管理他们的期望 Seek agreement with the stakeholder to manage their expectations,审查相关方参与计划，以重新审视该相关方的需求 Review the stakeholder engagement plan to revisit the stakeholder needs,与该相关方会面以说明状态报告的详细信息 Meet with the stakeholder to explain the details of the status reports,C,PMBOK（6）P523-13.3管理相关方参与。与相关方进行沟通和协作从而满足其需求与期望、处理问题，并促进相关方合理参与的过程。题目中说相关方不满意，说明相关方的需求未得到满足。因此先审查相关方参与计划，看一下相关方的需求是什么，C正确选项ABD：需要先审查相关方参与计划，看一下相关方的需求是什么，再决定下一步做什么，因此先做C
"你的敏捷顾问建议你开始在卡片上编写用户故事,每个故事代表一个工作。每张卡片都是状态信号，指示何时可以提取新的工作，这种方法有助你看见工作流程。顾问建议使用的工具是什么?Your agile consultant is suggesting that you start using writing your user stories on cards, where each of them represents single pieces of work. Each card acts as a signal of status and indicates when new work can be pulled, which will help you visualize your workflow. What tool is the consultant suggesting?",Scrum板 Scrum board,看板 Kanban board,任务板 Task board,用户故事板 User-stories board,B,《敏捷实践指南》P103页。看板是带有卡片的物理看板面板，它能够推动和实现整个系统中工作流的可视化，让每个人都可以看到。题干中“卡片上编写用户故事”“指示何时可以提取新的工作”“有助你看见工作流程”明显是看板的特点，选项B正确。选项AC：Scrum版是一种用于管理产品代办事项列表和冲刺代办事项列表的信息发射源，它能够清楚地展现团队角色及职责，帮助团队更新任务进度，促进团队信息共享，及时发现任务过程中的异常现象，从而查漏补缺。任务板跟Scrum版是一样的，它们流动的都是任务。选项D：用户故事板可以理解为铺上所有用户故事的一块板子，它类似用户故事地图，不过用户故事地图画有发布分支线，单纯的用户故事板没有这条线。
"项目经理正在管理一个产品开发项目，有许多国家的消费者将使用该产品，而且开发团队将在不同的地理位置工作，在制定实施策略时，项目经理首先应该做什么？A project manager is leading a product development project,Consumers across multiple countries, will use the product and the development team will working in different geographic locations. When developing the implementation strategy，what should the project manager do first?",创建工作分解结构(WBS)以了解所需工作的具体细节 Create A work breakdown structure (WBS) to understand the specific details of the required work,制定甘特图以确定每个地点的资源和职责 Develop a Gantlet Charts to identify resources and responsibilities for each location,确定可能影响项目成功的关键假设条件，制约因素和其他因素 Identify key assumptions，constraints and other factors that may impact project success,审查组织结构，以便与来自不同地点的团队进行有效协作 Review the organizational structure to effectively work with teams from different locations,C,PMBOK（6）P78-4.2.1.3事业环境因素。不同的地理位置、不同的文化背景，都是不受项目经理主观意愿影响的因素。 选项A：与事业环境因素关系不大； 选项B：甘特图主要用于进度的把控，B本身说法错误。 选项D：组织结构只显示汇报关系。
"在开工会议期间,一些相关方对项目管理计划的不同方面提出异议,在解决所有异议后,项目团队收到对计划的支持,发起人和相关方承诺完全支持该项目。这属于下面哪一项的实例?During a kick-off meeting,some stakeholders raised objections about different aspects of the project management plan.After addressing all objections,the project team received support of the plan,and the sponsor andstakeholders fully committed to the project.Of what is this an example?",精力充沛的相关方 Energetic stakeholders.,有效的规划和沟通 Effective planning and communication.,高效的团队协作 Efficient team collaboration.,相关方关系的复杂性 Complexity of stakeholder relationships.,B,PMBOK(6)P86-4.2.2.4开工会议。开工会议是规划过程组完成，执行过程组开始之前召开的会议，旨在获得获得相关方和团队的承诺。开工会议的顺利进行有赖于规划过程组卓有成效的工作和有效的沟通，从而回应相关方的关心，满足相关方的需求和期望。
"一个新产品开发项目运行了将近六个月。最近，你接替了前项目经理。随后，你听到项目团队谈论先前批准的范围，以及即便有强大的变更控制流程，需求还是不断变化。你应该怎么做？A new product development project is running for almost six months. Recently, you replaced the former project manager and ever since, you were hearing the project team istalking about changes in the previously approved scope and the ever-changing requirements, despite the robust change-control process in place. What should you do? .",考虑改变开发方法 Consider changing the development approach,拒绝所有即将发生的变更 Reject all upcoming changes,重新审视变更管理流程 Revisit the change management process,告诉团队只要有资金就欢迎所有变更 Inform the team to welcome all changes as long as they are funded,A,《敏捷实践指南》第13页。有些项目的项目需求具有很大的不确定性，而这可能导致大量变更和项目复杂性的提高。题干中，拥有完备的变更流程，还是无法应对高度的需求变更，是在告诉我们，传统项目管理方法不起作用，要做敏捷转型了。“需求不断变化”的情况下，项目更适合采用敏捷方法，因此选项A“考虑改变开发方法”有助于解决目前的问题。选项B：“拒绝所有即将发生的变更”不合理。选项C：题干表明项目“有强大的变更控制流程”，说明问题不在于变更控制流程，“重新审视变更管理流程”并不能解决目前的问题。选项D：“告诉团队只要有资金就欢迎所有变更”，这种做法很可能会导致项目范围和其他项目元素遭到损害，影响最终可交付成果，该选项不正确。
项目发起人已经提供了项目目标，项目经理正在努力去合理确定项目章程中应包含哪些内容。项目经理应该关注什么方面？A project sponsor has provided project objectives; and the project manager is working to appropriately determine what should be included in the project charter. On what should the project manager focus?,高层级需求 High-level requirements,需求文件 Requirements documentation,需求跟踪矩阵 Requirements traceabbility matrix,项目范围说明书 Project scope statement,A,PMBOK（6）P81，4.1.3.1-项目章程。题干考察项目章程的定义，项目章程是由项目启动人或发起人发布的，正式批准项目成立，并授权项目经理使用组织资源开展项目活动的文件。它记录了关于项目和项目预期交付的产品、服务或成果的高层级信息，例如高层级需求、高层级项目描述、边界定义以及主要可交付成果等。
"在一个工厂的项目建议书谈判期间，客户通知项目经理需要进行一项变更来提高性能。项目经理该怎么做？During project proposal negotiations for an industrial plant, the customer informs the project manager that a change is required to improve performance. What should the project manager do?",让项目发起人增加额外资金 Ask the project sponsor for additional funding.,征求高级管理层的建议 Call senior management for advice.,更新工作分解结构（WBS） Update the work breakdown structure (WBS).,修订风险应对计划 Revise the risk response plan.,B,PMBOK（6）P75-4.1制定项目章程。“项目建议书谈判期间”，项目的启动阶段，基准尚未形成，此时收到的变更请求通过协商的方式来解决，排除C选项。 选项A：是否增加依据协商的结果。 选项D：还未进入到规划阶段。
"在为主承包商建设一个场地时，项目经理得知确定施工方法所使用的信息是过时的，项目经理首先应该怎么做？While establishing a site for the primary contractor , the project manager realizes that outdated information was used to determine the construction method What should the project manager do first?",更新问题日志 Update the issue log,将其添加到经验教训储存库中 Add this to the lessons learned repository,寻求专家的专业支持 Seek specialized support from experts,开展过程改进活动 Conduct process improvement activities,A,PMBOK(6)P132- 4.3.3.3 问题日志 题目问题是“首先”要做什么， 结合选项，A是需最先要做的， 发现问题，先记录。在整个项目生命周期中，项目经理通常会遇到问题，应该用问题日志记录并跟踪问题。 其他选项：BCD都在更新问题日志后面再做。
"在冲刺评审会议上，其中一位主要利益相关方提出了一项新需求，该需求非常关键，应首先加以考虑。在这种情况下，你作为产品负责人，接下来要做什么？During the sprint review meeting, one of the key stakeholders came up with a new requirement which is highly critical and should be taken up first. What would you do next as a product owner in this case?",将需求添加到下一个迭代的待办事项列表中 Add the requirement to next iteration backlog,将需求添加到产品待办事项列表中 Add the requirement to the product backlog,召开一个冲刺计划会议，并与团队讨论这个需求 Hold a sprint planning meeting and take up this requirement with the team,在评审会议上通知团队成员，下一步需要处理这个需求 Inform the team members in the review meeting that they need to work on this requirement next,B,冲刺评审会议主要有两个主要作用，一是评审本次迭代的潜在产品增量，二是与外部相关方进行交互。当外部相关方在冲刺评审会议中提出了新的需求，PO可以加入待办事项列表中，但是只能由PO来最终决定需求优先级。选项A错误，需求是不是下个迭代做，是不是马上做，需要PO根据产品待办事项列表中的所有需求，进行评估和决策，然后确定是否要加入到下一个迭代的待办事项中，而不是在这个冲刺评审会议中直接决定。选项B正确，外部相关方提出的任何需求，都是要先加入待办事项列表中。选项C错误，与团队讲解和讨论需求，应该在待办事项梳理会议中进行选项D错误，需求是否马上做，需要由PO进行决策，根据产品待办事项列表中的所有需求，进行评估和决策。而不是直接通知团队成员马上处理。
"在与新组建的团队启动项目后不久，项目经理发现团队成员对意见分歧极为直言不讳。若要在团队建设过程中鼓励进展，项目经理应该怎么做？Shortly after kicking off a project with a newly formed team, the project manager discovers that team members are extremely vocal about differences of opinion. To encourage progression through the team building process,What should the project manager do ?",要求团队成员专注于完成任务 Ask team members to focus on task completion,营造一个反馈和肯定的环境，巩固支持团队的习惯 Foster an environment of feedback and affirmation to solidify habit that support the team,强调团队成员之间达成共识以尽量减少冲突的重要性 Stress the importance of consensus among team members to minimize conflict,经常审查并评团队和项目绩效 Frequently review and evaluate team and project performance,B,PMBOK（6）P336-9.4建设团队。建设团队是提高工作能力，促进团队成员互动，改善团队整体氛围，以提高项目绩效的过程。 其他选项选项A：忽略团队之间出现的冲突不可取选项C：同选项A，忽略冲突不可取，良性的冲突有助于团队成员提高绩效，开拓思路选项D：团队绩效评估，是对团队建设效果的评价，在选项B之后。
